,dataset,model,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
154,ShapesAll,RDST,0.9393333333333334,0.009053339878904507,0.9380137528217658,0.009260827623166195,16.002809262275697,0.7626485531248526
155,ShapesAll,RDST NN,0.9160555555555556,0.012557153290671917,0.9140554730681233,0.012326474159624588,11.869999090830484,0.24332783257616775
156,PigAirwayPressure,RDST,0.6907051282051282,0.030135023778315787,0.647739880859969,0.024990845098304126,40.059829505284625,1.873845731609915
157,PigAirwayPressure,RDST NN,0.08237179487179488,0.017848276656828015,0.06957258028009225,0.019638234091950157,16.445275179545085,0.2715740431540484
158,PigArtPressure,RDST,0.9365384615384614,0.011996773892444159,0.9326451433182201,0.012744980926854242,42.124785820643105,2.277134645346676
159,PigArtPressure,RDST NN,0.8467948717948718,0.021669606081904318,0.8382453870915411,0.024794758850957114,16.502605891227724,0.27836581638839647
160,PigCVP,RDST,0.8711538461538461,0.01968220143313338,0.8651049627011165,0.021884868173892034,40.5056942542394,2.198063428768436
161,PigCVP,RDST NN,0.7516025641025642,0.026748902415008106,0.7378300367723444,0.030654214284962737,16.28840448061625,0.2980730687010856
162,TwoPatterns,RDST,0.9999916666666666,4.487637339278259e-05,0.9999917867879276,4.42295006054913e-05,18.34761182467143,0.2985379670573943
163,TwoPatterns,RDST NN,0.99995,9.999999999998897e-05,0.999950718813445,9.856237311005599e-05,18.747670642534892,0.2726830106383215
164,ECG5000,RDST,0.9464666666666666,0.002643946420579863,0.5547926312771753,0.02670143802170781,18.946230745315553,0.24280520592999136
165,ECG5000,RDST NN,0.9423037037037036,0.002563102115682936,0.5464697365631596,0.02311215570302029,19.1226984500885,0.3514452482899684
166,ChlorineConcentration,RDST,0.7603819444444445,0.015146273523839153,0.7220089531924089,0.017685110395442266,18.025252795219423,0.32688215361725226
167,ChlorineConcentration,RDST NN,0.7415364583333335,0.012743354167898475,0.6979445216143566,0.016702345489602373,18.122099590301513,0.3037408082239899
168,FreezerSmallTrain,RDST,0.9789122807017543,0.01741386929869366,0.978881237647752,0.01748031931748342,19.84671295483907,0.7464573946151685
169,FreezerSmallTrain,RDST NN,0.8839532163742692,0.04256097764579983,0.8836183839025882,0.04266977685362014,17.59683360258738,0.3937265274763313
170,FreezerRegularTrain,RDST,0.9970409356725148,0.0013305089609909424,0.9970408947903772,0.0013305527299220827,20.70494530995687,0.879496428654099
171,FreezerRegularTrain,RDST NN,0.9844678362573097,0.008528040320067338,0.9844639301803366,0.008535771352752065,18.52534274260203,0.44681217657800076
172,EOGHorizontalSignal,RDST,0.7633517495395948,0.02833643195843299,0.7596705586751967,0.027631483605145116,40.08264833291371,2.031408636733069
173,EOGHorizontalSignal,RDST NN,0.7109576427255988,0.02855239614974962,0.7047413937324862,0.02795833000562399,20.949713015556334,0.3546664769163603
174,EOGVerticalSignal,RDST,0.7149171270718232,0.04285123143349857,0.7057469542559338,0.0485119282116553,41.0415546019872,2.212535630380079
175,EOGVerticalSignal,RDST NN,0.67255985267035,0.036058160590852054,0.663690577483855,0.039802317291356,20.9641903479894,0.3930275007835405
176,Wafer,RDST,0.9999080683538828,0.00024310801203752776,0.9997605422284115,0.0006344896338022944,28.15669175783793,0.5287020680396533
177,Wafer,RDST NN,0.9960902011680727,0.001468687887553932,0.9897960191583138,0.003872597454613389,28.50761334101359,0.6395341832584639
178,Crop,RDST,0.7427460317460317,0.006244569321142225,0.7360424325553261,0.007502580550915544,90.16584106286366,0.8103541901623139
179,Crop,RDST NN,0.7302738095238096,0.0024120293297404858,0.7231152413767954,0.0026445029116041806,91.6359587987264,0.9287114740020278
180,InlineSkate,RDST,0.464,0.02269160838083301,0.4803258981293847,0.023245150858094435,68.41108493010204,3.683921350369975
181,InlineSkate,RDST NN,0.3844848484848484,0.03186311401753442,0.40152394894536503,0.0332898981780021,25.97878676255544,0.4231685739604951
182,SemgHandGenderCh2,RDST,0.8912777777777777,0.010960225509079487,0.8836433113832958,0.011120398281610551,65.65361374219259,4.913816839292546
183,SemgHandGenderCh2,RDST NN,0.9011111111111112,0.016971290208997798,0.8944349382094441,0.017120088845535373,29.70483149687449,0.5145254448675932
184,SemgHandMovementCh2,RDST,0.585925925925926,0.024721216514430693,0.5862269974390434,0.02503980840039764,65.93115083376567,3.6613613056614978
